suburb,rooms,type,price,method,seller_g,date,distance,postcode,bedroom2,bathroom,car,landsize,council_area,latitude,longitude,region_name,property_count,yr_qtr
Bentleigh East,4,t,1400000.0,S,Buxton,2016-08-22,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,t,1260000.0,PI,hockingstuart,2016-08-22,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,2,u,772500.0,S,Anderson,2016-06-27,13.9,3165.0,2.0,1.0,2.0,318.0,Glen Eira City Council,-37.9218,145.0563,Southern Metropolitan,10969.0,2016.2
Bentleigh East,4,t,1325000.0,S,Buxton,2017-02-25,13.9,3165.0,4.0,4.0,2.0,363.0,Glen Eira City Council,-37.9116,145.0686,Southern Metropolitan,10969.0,2017.1
Bentleigh East,3,h,1189000.0,S,hockingstuart,2016-09-17,13.9,3165.0,4.0,2.0,2.0,337.0,Glen Eira City Council,-37.9144,145.0582,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,t,1240000.0,S,Buxton,2017-03-18,13.9,3165.0,3.0,2.0,2.0,518.0,Glen Eira City Council,-37.9316,145.0542,Southern Metropolitan,10969.0,2017.1
Bentleigh East,3,h,823000.0,S,C21,2017-03-18,13.9,3165.0,3.0,2.0,2.0,213.0,Glen Eira City Council,-37.9079,145.0707,Southern Metropolitan,10969.0,2017.1
Bentleigh East,4,h,1310000.0,S,Woodards,2017-03-18,13.9,3165.0,4.0,2.0,2.0,606.0,Glen Eira City Council,-37.9147,145.0645,Southern Metropolitan,10969.0,2017.1
Bentleigh East,4,h,1130000.0,S,Woodards,2017-02-11,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2017.1
Bentleigh East,4,t,1235000.0,SP,hockingstuart/Buxton,2017-03-11,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2017.1
Bentleigh East,4,t,1250000.0,S,hockingstuart,2016-11-12,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,845000.0,S,Ray,2016-11-12,13.9,3165.0,3.0,2.0,2.0,295.0,Glen Eira City Council,-37.9239,145.0781,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,t,860000.0,VB,Buxton,2016-11-12,13.9,3165.0,3.0,2.0,1.0,254.0,Glen Eira City Council,-37.9227,145.0558,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,u,791000.0,S,Woodards,2016-09-17,13.9,3165.0,3.0,3.0,1.0,391.0,Glen Eira City Council,-37.9149,145.0788,Southern Metropolitan,10969.0,2016.3
Bentleigh East,2,h,1120000.0,S,hockingstuart,2016-06-18,13.9,3165.0,3.0,1.0,2.0,678.0,Glen Eira City Council,-37.9146,145.0767,Southern Metropolitan,10969.0,2016.2
Bentleigh East,4,t,1060000.0,S,Woodards,2016-12-10,13.9,3165.0,4.0,3.0,1.0,313.0,Glen Eira City Council,-37.9164,145.0765,Southern Metropolitan,10969.0,2016.4
Bentleigh East,4,t,1185000.0,S,hockingstuart,2016-12-10,13.9,3165.0,4.0,2.0,2.0,305.0,Glen Eira City Council,-37.9245,145.0507,Southern Metropolitan,10969.0,2016.4
Bentleigh East,4,h,1415000.0,S,Buxton,2016-09-10,13.9,3165.0,4.0,2.0,2.0,604.0,Glen Eira City Council,-37.9153,145.0707,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,h,1690000.0,S,Gary,2016-09-17,13.9,3165.0,4.0,2.0,2.0,700.0,Glen Eira City Council,-37.9117,145.0534,Southern Metropolitan,10969.0,2016.3
Bentleigh East,2,u,835000.0,S,Woodards,2016-09-17,13.9,3165.0,2.0,2.0,1.0,362.0,Glen Eira City Council,-37.9149,145.0676,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,t,1150000.0,VB,Gary,2018-02-24,13.8,3165.0,4.0,3.0,2.0,303.0,Glen Eira City Council,-37.91852,145.07436,Southern Metropolitan,10969.0,2018.1
Bentleigh East,3,h,1115000.0,SP,hockingstuart,2016-05-22,13.9,3165.0,3.0,2.0,2.0,1080.0,Glen Eira City Council,-37.9233,145.0674,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,1197000.0,S,Buxton,2016-05-22,13.9,3165.0,3.0,1.0,2.0,692.0,Glen Eira City Council,-37.9232,145.0563,Southern Metropolitan,10969.0,2016.2
Bentleigh East,2,u,485000.0,SP,Buxton,2016-05-22,13.9,3165.0,2.0,2.0,2.0,0.0,Glen Eira City Council,-37.9292,145.0708,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,u,810000.0,S,Woodards,2016-05-22,13.9,3165.0,3.0,2.0,1.0,316.0,Glen Eira City Council,-37.9245,145.0773,Southern Metropolitan,10969.0,2016.2
Bentleigh East,4,h,1365000.0,PI,Marshall,2016-05-22,13.9,3165.0,4.0,1.0,1.0,582.0,Glen Eira City Council,-37.9129,145.0598,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,700000.0,S,Thomson,2016-05-22,13.9,3165.0,0.0,0.0,0.0,456.0,Glen Eira City Council,-37.9314,145.0808,Southern Metropolitan,10969.0,2016.2
Bentleigh East,4,h,1698888.0,S,hockingstuart,2016-08-22,13.9,3165.0,4.0,2.0,2.0,598.0,Glen Eira City Council,-37.9138,145.0774,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,t,1465000.0,S,Buxton,2016-06-18,13.9,3165.0,3.0,2.0,2.0,319.0,Glen Eira City Council,-37.9256,145.0533,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,1140000.0,S,hockingstuart,2016-06-18,13.9,3165.0,4.0,1.0,3.0,701.0,Glen Eira City Council,-37.9178,145.0815,Southern Metropolitan,10969.0,2016.2
Bentleigh East,2,h,1180000.0,S,Buxton,2016-06-27,13.9,3165.0,2.0,1.0,1.0,687.0,Glen Eira City Council,-37.9234,145.0616,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,1000000.0,S,Buxton,2016-06-18,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,1110000.0,S,Woodards,2016-12-10,13.9,3165.0,3.0,1.0,4.0,612.0,Glen Eira City Council,-37.9159,145.0733,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,840000.0,S,Buxton,2016-12-10,13.9,3165.0,3.0,2.0,2.0,697.0,Glen Eira City Council,-37.9092,145.0813,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,t,1279000.0,S,McGrath,2016-12-10,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,u,770000.0,PI,hockingstuart,2017-02-25,13.9,3165.0,3.0,2.0,1.0,281.0,Glen Eira City Council,-37.9257,145.0811,Southern Metropolitan,10969.0,2017.1
Bentleigh East,3,h,1110000.0,S,hockingstuart,2017-02-25,13.9,3165.0,3.0,1.0,6.0,542.0,Glen Eira City Council,-37.9272,145.0705,Southern Metropolitan,10969.0,2017.1
Bentleigh East,1,u,380000.0,S,hockingstuart,2017-02-25,13.9,3165.0,1.0,1.0,1.0,0.0,Glen Eira City Council,-37.9315,145.0619,Southern Metropolitan,10969.0,2017.1
Bentleigh East,4,h,1175000.0,S,RT,2017-02-25,13.9,3165.0,4.0,2.0,2.0,620.0,Glen Eira City Council,-37.9281,145.0669,Southern Metropolitan,10969.0,2017.1
Bentleigh East,3,h,750000.0,PI,Buxton,2016-09-17,13.9,3165.0,3.0,2.0,1.0,337.0,Glen Eira City Council,-37.9115,145.0844,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,t,1250000.0,PI,Buxton,2016-09-17,13.9,3165.0,4.0,2.0,2.0,314.0,Glen Eira City Council,-37.9299,145.0598,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,899000.0,S,Buxton,2016-09-10,13.9,3165.0,3.0,1.0,1.0,583.0,Glen Eira City Council,-37.9312,145.0795,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,t,1205000.0,S,hockingstuart,2016-09-10,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,597000.0,S,hockingstuart,2016-09-10,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,2,h,1010000.0,S,hockingstuart,2016-09-10,13.9,3165.0,3.0,1.0,1.0,597.0,Glen Eira City Council,-37.9126,145.0776,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,1000000.0,S,Woodards,2016-09-24,13.9,3165.0,3.0,1.0,2.0,576.0,Glen Eira City Council,-37.9362,145.0691,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,t,1150000.0,S,hockingstuart,2016-09-24,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,t,965000.0,S,Buxton,2016-09-24,13.9,3165.0,3.0,2.0,1.0,283.0,Glen Eira City Council,-37.9142,145.08,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,u,870000.0,S,Woodards,2016-09-24,13.9,3165.0,3.0,2.0,2.0,365.0,Glen Eira City Council,-37.9225,145.0754,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,1405000.0,S,Woodards,2016-09-24,13.9,3165.0,3.0,1.0,1.0,764.0,Glen Eira City Council,-37.9143,145.0629,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,h,1100000.0,VB,Melbourne,2016-09-24,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,1161000.0,S,hockingstuart,2016-09-24,13.9,3165.0,3.0,2.0,3.0,629.0,Glen Eira City Council,-37.912,145.0752,Southern Metropolitan,10969.0,2016.3
Bentleigh East,2,t,486500.0,S,hockingstuart,2016-10-08,13.9,3165.0,2.0,1.0,1.0,0.0,Glen Eira City Council,-37.9082,145.0681,Southern Metropolitan,10969.0,2016.4
Bentleigh East,4,t,1080000.0,S,Buxton,2016-09-24,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,1266000.0,S,hockingstuart,2016-09-24,13.9,3165.0,3.0,1.0,3.0,676.0,Glen Eira City Council,-37.9307,145.0531,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,t,700000.0,PI,hockingstuart,2016-09-24,13.9,3165.0,3.0,2.0,2.0,194.0,Glen Eira City Council,-37.9272,145.0801,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,h,1206000.0,S,Hodges,2016-10-08,13.9,3165.0,4.0,1.0,1.0,636.0,Glen Eira City Council,-37.925,145.0612,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,1355000.0,S,Buxton,2016-10-08,13.9,3165.0,0.0,1.0,2.0,818.0,Glen Eira City Council,-37.9241,145.0539,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,780000.0,PI,Buxton,2016-09-17,13.9,3165.0,3.0,2.0,2.0,421.0,Glen Eira City Council,-37.9168,145.0809,Southern Metropolitan,10969.0,2016.3
Bentleigh East,5,h,1260000.0,S,Buxton,2016-09-17,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,1200000.0,S,hockingstuart,2016-09-17,13.9,3165.0,3.0,1.0,1.0,721.0,Glen Eira City Council,-37.9244,145.0665,Southern Metropolitan,10969.0,2016.3
Bentleigh East,2,u,765000.0,S,Woodards,2016-07-16,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,t,1375000.0,S,hockingstuart,2016-09-10,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,t,1085000.0,S,Jellis,2017-11-18,13.8,3165.0,3.0,2.0,1.0,583.0,Glen Eira City Council,-37.9133,145.0754,Southern Metropolitan,10969.0,2017.4
Bentleigh East,4,h,1250000.0,S,Jellis,2018-02-24,13.8,3165.0,4.0,2.0,4.0,639.0,Glen Eira City Council,-37.92633,145.06609,Southern Metropolitan,10969.0,2018.1
Bentleigh East,4,h,1216000.0,S,Jellis,2017-09-03,13.8,3165.0,4.0,1.0,2.0,583.0,Glen Eira City Council,-37.93206,145.07929,Southern Metropolitan,10969.0,2017.3
Bentleigh East,3,h,1300000.0,S,Woodards,2016-09-17,13.9,3165.0,3.0,1.0,4.0,746.0,Glen Eira City Council,-37.9198,145.0787,Southern Metropolitan,10969.0,2016.3
Bentleigh East,2,h,940000.0,S,Buxton,2016-05-22,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.2
Bentleigh East,5,h,1475000.0,S,Woodards,2016-09-17,13.9,3165.0,5.0,2.0,2.0,729.0,Glen Eira City Council,-37.9191,145.075,Southern Metropolitan,10969.0,2016.3
Bentleigh East,2,u,340000.0,VB,Gary,2016-08-22,13.9,3165.0,2.0,1.0,1.0,0.0,Glen Eira City Council,-37.9096,145.0843,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,1200000.0,S,Woodards,2017-02-25,13.9,3165.0,3.0,1.0,1.0,640.0,Glen Eira City Council,-37.916,145.0776,Southern Metropolitan,10969.0,2017.1
Bentleigh East,4,h,1370000.0,SP,Gary,2017-02-25,13.9,3165.0,4.0,1.0,2.0,684.0,Glen Eira City Council,-37.9147,145.0751,Southern Metropolitan,10969.0,2017.1
Bentleigh East,4,h,1433500.0,S,Hodges,2017-02-25,13.9,3165.0,4.0,1.0,1.0,725.0,Glen Eira City Council,-37.9289,145.0502,Southern Metropolitan,10969.0,2017.1
Bentleigh East,2,h,1630000.0,S,C21,2017-02-25,13.9,3165.0,2.0,1.0,2.0,724.0,Glen Eira City Council,-37.9135,145.0557,Southern Metropolitan,10969.0,2017.1
Bentleigh East,3,h,1360000.0,SP,Woodards,2017-02-25,13.9,3165.0,3.0,1.0,3.0,676.0,Glen Eira City Council,-37.9233,145.0616,Southern Metropolitan,10969.0,2017.1
Bentleigh East,4,h,900000.0,VB,Gary,2016-07-26,13.9,3165.0,3.0,1.0,2.0,741.0,Glen Eira City Council,-37.9229,145.0673,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,t,860000.0,PI,hockingstuart,2016-07-26,13.9,3165.0,3.0,2.0,1.0,210.0,Glen Eira City Council,-37.9075,145.061,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,t,1216000.0,S,Buxton,2016-07-26,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,t,950000.0,PI,Buxton,2016-11-12,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.4
Bentleigh East,4,h,1150000.0,S,Buxton,2016-08-22,13.9,3165.0,4.0,2.0,2.0,639.0,Glen Eira City Council,-37.9258,145.075,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,t,921000.0,S,Buxton,2016-11-12,13.9,3165.0,3.0,2.0,2.0,167.0,Glen Eira City Council,-37.9219,145.0733,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,1165000.0,S,Buxton,2016-11-12,13.9,3165.0,3.0,1.0,1.0,732.0,Glen Eira City Council,-37.9334,145.0667,Southern Metropolitan,10969.0,2016.4
Bentleigh East,4,h,1100000.0,S,Woodards,2016-10-08,13.9,3165.0,4.0,2.0,4.0,653.0,Glen Eira City Council,-37.9244,145.0792,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,1100000.0,SP,Buxton,2016-10-08,13.9,3165.0,3.0,1.0,2.0,578.0,Glen Eira City Council,-37.9186,145.0709,Southern Metropolitan,10969.0,2016.4
Bentleigh East,1,u,370000.0,PI,Buxton,2016-10-08,13.9,3165.0,1.0,1.0,1.0,0.0,Glen Eira City Council,-37.9205,145.0528,Southern Metropolitan,10969.0,2016.4
Bentleigh East,4,t,1357500.0,S,Buxton,2016-10-08,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.4
Bentleigh East,2,u,495000.0,SP,Woodards,2016-10-08,13.9,3165.0,2.0,1.0,1.0,96.0,Glen Eira City Council,-37.9102,145.0709,Southern Metropolitan,10969.0,2016.4
Bentleigh East,4,t,1150000.0,PI,Buxton,2016-12-10,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,1001000.0,S,Gary,2016-06-27,13.9,3165.0,3.0,1.0,1.0,598.0,Glen Eira City Council,-37.9216,145.073,Southern Metropolitan,10969.0,2016.2
Bentleigh East,2,u,715000.0,S,hockingstuart,2016-06-27,13.9,3165.0,2.0,1.0,1.0,194.0,Glen Eira City Council,-37.9107,145.0598,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,801000.0,S,Buxton,2016-06-27,13.9,3165.0,3.0,1.0,1.0,0.0,Glen Eira City Council,-37.9218,145.053,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,1155000.0,S,Buxton,2016-06-27,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,t,882000.0,S,Ray,2016-06-27,13.9,3165.0,3.0,2.0,2.0,208.0,Glen Eira City Council,-37.9108,145.0794,Southern Metropolitan,10969.0,2016.2
Bentleigh East,4,h,1352000.0,S,hockingstuart,2016-07-16,13.9,3165.0,4.0,2.0,2.0,618.0,Glen Eira City Council,-37.9252,145.0562,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,t,1005000.0,SP,Woodards,2016-07-16,13.9,3165.0,4.0,2.0,2.0,296.0,Glen Eira City Council,-37.9197,145.057,Southern Metropolitan,10969.0,2016.3
Bentleigh East,2,u,761000.0,S,Ray,2016-07-16,13.9,3165.0,2.0,1.0,2.0,282.0,Glen Eira City Council,-37.9073,145.0599,Southern Metropolitan,10969.0,2016.3
Bentleigh East,5,h,1600000.0,S,Buxton,2016-07-16,13.9,3165.0,4.0,2.0,2.0,659.0,Glen Eira City Council,-37.906,145.0547,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,h,1110000.0,S,Buxton,2016-09-17,13.9,3165.0,4.0,2.0,2.0,583.0,Glen Eira City Council,-37.9262,145.0624,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,780000.0,VB,hockingstuart,2016-05-22,13.9,3165.0,3.0,1.0,1.0,710.0,Glen Eira City Council,-37.9324,145.0577,Southern Metropolitan,10969.0,2016.2
Bentleigh East,4,h,1115000.0,SP,Buxton,2016-11-19,13.9,3165.0,4.0,2.0,2.0,575.0,Glen Eira City Council,-37.9274,145.0654,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,1352000.0,S,Woodards,2016-11-19,13.9,3165.0,3.0,1.0,2.0,686.0,Glen Eira City Council,-37.9113,145.0765,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,1185000.0,S,hockingstuart,2016-07-16,13.9,3165.0,3.0,1.0,2.0,618.0,Glen Eira City Council,-37.9228,145.0527,Southern Metropolitan,10969.0,2016.3
Bentleigh East,4,h,1108000.0,S,Woodards,2016-07-16,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.3
Bentleigh East,5,h,1550000.0,PI,hockingstuart,2016-11-27,13.9,3165.0,5.0,3.0,2.0,583.0,Glen Eira City Council,-37.9143,145.0699,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,930000.0,S,Buxton,2016-11-27,13.9,3165.0,3.0,2.0,2.0,258.0,Glen Eira City Council,-37.9162,145.0799,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,u,790000.0,S,hockingstuart,2016-11-27,13.9,3165.0,3.0,1.0,2.0,406.0,Glen Eira City Council,-37.9286,145.0737,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,1040000.0,S,Hodges,2016-11-27,13.9,3165.0,3.0,1.0,2.0,625.0,Glen Eira City Council,-37.927,145.0645,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,1020000.0,S,Nick,2016-11-27,13.9,3165.0,3.0,1.0,2.0,596.0,Glen Eira City Council,-37.9251,145.0771,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,t,670000.0,PI,Bayside,2016-11-27,13.9,3165.0,3.0,1.0,2.0,233.0,Glen Eira City Council,-37.9376,145.0784,Southern Metropolitan,10969.0,2016.4
Bentleigh East,5,h,1305000.0,S,Buxton,2016-11-27,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,u,720000.0,PI,Gary,2016-07-16,13.9,3165.0,3.0,2.0,1.0,228.0,Glen Eira City Council,-37.9329,145.0617,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,t,780000.0,PI,Buxton,2016-08-28,13.9,3165.0,3.0,2.0,1.0,209.0,Glen Eira City Council,-37.9131,145.07,Southern Metropolitan,10969.0,2016.3
Bentleigh East,3,h,921000.0,S,Buxton,2016-04-16,13.9,3165.0,3.0,2.0,1.0,291.0,Glen Eira City Council,-37.919,145.0829,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,780000.0,S,Buxton,2016-04-16,13.9,3165.0,3.0,2.0,2.0,583.0,Glen Eira City Council,-37.9209,145.0686,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,930000.0,SP,Buxton,2016-04-16,13.9,3165.0,3.0,1.0,2.0,588.0,Glen Eira City Council,-37.9286,145.069,Southern Metropolitan,10969.0,2016.2
Bentleigh East,2,h,722000.0,S,Buxton,2016-04-16,13.9,3165.0,2.0,2.0,1.0,201.0,Glen Eira City Council,-37.9293,145.0657,Southern Metropolitan,10969.0,2016.2
Bentleigh East,3,h,1270000.0,S,Buxton,2016-11-12,13.9,3165.0,3.0,1.0,2.0,694.0,Glen Eira City Council,-37.9174,145.0779,Southern Metropolitan,10969.0,2016.4
Bentleigh East,3,h,965000.0,S,hockingstuart,2016-05-07,13.9,3165.0,3.0,1.0,4.0,574.0,Glen Eira City Council,-37.9309,145.0685,Southern Metropolitan,10969.0,2016.2
